molecule_chembl_id,canonical_smiles,standard_value,pIC50,Fingerprint,predicted_pIC50
CHEMBL1081198,O=C(Nc1cccc(-c2cn3ccnc3c(NCc3ccncc3)n2)c1)Nc1cccc(C(F)(F)F)c1,50000.0,4.301029995663981,[0. 0. 0. ... 0. 0. 0.],5.558243286458765
CHEMBL1081312,Nc1ncnc2c1c(-c1cnc3[nH]ccc3c1)nn2C1CCCC1,260.0,6.585026652029182,[0. 0. 0. ... 0. 0. 0.],6.372474926654262
CHEMBL1081849,Cc1c(C(=O)NCCCN2CCN(C)CC2)[nH]c2cnnc(Nc3ccc(OCc4cccc(F)c4)c(Cl)c3)c12,5490.0,5.260427655549908,[0. 0. 0. ... 0. 0. 0.],5.289084916721787
CHEMBL1082012,Cc1c(C(=O)NCCN2CCN(C)CC2)[nH]c2cnnc(Nc3ccc(OCc4cccc(F)c4)c(Cl)c3)c12,5128.5,5.290009640147725,[0. 0. 0. ... 0. 0. 0.],5.3032902528061765
CHEMBL1082230,CC1=C(C(=O)Nc2cccc([N+](=O)[O-])c2)C(c2ccc(O)cc2O)NC(N/N=C/c2cccs2)=N1,100000.0,4.0,[0. 0. 0. ... 0. 0. 0.],4.409651151813807
CHEMBL1082829,CCCCn1c2ccc(C3CCCCO3)cc2c2c3c(c4c(c21)CCc1nn(C)cc1-4)C(=O)NC3,1000.0,6.0,[0. 0. 0. ... 0. 0. 0.],5.9578542621888095
CHEMBL1083509,Cc1nc(S(=O)(=O)Cc2ccccc2)nc(-c2ccc(O)cc2O)c1C(=O)Nc1cccc([N+](=O)[O-])c1,100000.0,4.0,[0. 0. 0. ... 0. 0. 0.],4.2926800117278905
CHEMBL1083817,CC1=C(C(=O)Nc2cccc([N+](=O)[O-])c2)C(c2ccc(O)cc2O)NC(N/N=C/c2ccco2)=N1,100000.0,4.0,[0. 0. 0. ... 0. 0. 0.],4.3281954673545755
CHEMBL1084117,CC1=C(C(=O)Nc2ccc(C)cc2)C(c2ccc(O)cc2O)NC(Nc2ccc([N+](=O)[O-])cc2Cl)=N1,60900.0,4.215382707367125,[0. 0. 0. ... 0. 0. 0.],4.241213038936384
CHEMBL1084118,CC1=C(C(=O)Nc2cccc([N+](=O)[O-])c2)C(c2ccc(O)cc2O)NC(NCc2ccccc2)=N1,100000.0,4.0,[0. 0. 0. ... 0. 0. 0.],4.1244626785471095
CHEMBL1084337,CC(C)Cn1c2ccc(C3CCCCO3)cc2c2c3c(c4c(c21)CCc1nn(C)cc1-4)C(=O)NC3,1000.0,6.0,[0. 1. 0. ... 0. 0. 0.],6.012180874176665
CHEMBL1085511,CC(C)COC(=O)Nc1ccc(-c2cnc3c(-c4ccc(N5CCN(C)CC5)cc4)cnn3c2N)cc1,10000.0,5.0,[0. 1. 0. ... 0. 0. 0.],5.574503375335221
CHEMBL1086151,CC1=C(C(=O)Nc2cccc([N+](=O)[O-])c2)C(c2ccc(O)cc2O)NC(Nc2ccc([N+](=O)[O-])cc2Cl)=N1,100000.0,4.0,[0. 0. 0. ... 0. 0. 0.],4.052179297319825
CHEMBL1086152,Cc1ccc(NC(=O)c2c(C)nc(S(=O)(=O)Cc3ccccc3)nc2-c2ccc(O)cc2O)cc1,100000.0,4.0,[0. 0. 0. ... 0. 0. 0.],4.353479259728516
CHEMBL1087054,CC1=C(C(=O)Nc2ccc(C)cc2)C(c2ccc(O)cc2O)NC(SCc2ccccc2)=N1,93500.0,4.029188389127482,[0. 0. 0. ... 0. 0. 0.],4.164143717407271
CHEMBL1087055,CC1=C(C(=O)Nc2cccc([N+](=O)[O-])c2)C(c2ccc(O)cc2O)NC(SCc2ccccc2)=N1,55600.0,4.254925208417943,[0. 0. 0. ... 0. 0. 0.],4.191591478259512
CHEMBL1087368,CCN(CC)CCNC(=O)c1[nH]c2cnnc(Nc3ccc(OCc4cccc(F)c4)c(Cl)c3)c2c1C,1220.0,5.913640169325252,[0. 0. 0. ... 0. 0. 0.],5.294317202163577
CHEMBL1087421,COc1cc2c(cc1Cl)C(c1ccc(Cl)c(Cl)c1)=NCC2,10000.0,5.0,[0. 0. 0. ... 0. 0. 0.],5.07027045182558
CHEMBL1087440,CC1=NN(C2=NC(C)=C(C(=O)Nc3cccc([N+](=O)[O-])c3)C(c3ccc(O)cc3O)N2)C(=O)/C1=C/c1ccco1,100000.0,4.0,[0. 0. 0. ... 0. 0. 0.],4.982531339770542
CHEMBL1087566,CC1=NN(C2=NC(C)=C(C(=O)Nc3cccc([N+](=O)[O-])c3)C(c3ccc(O)cc3O)N2)C(=O)/C1=C/c1cccs1,100000.0,4.0,[0. 0. 0. ... 0. 0. 0.],4.285946028402867
CHEMBL1088240,COc1cc(Nc2c(C#N)cnc3cc(/C=C/CCN4CCN(C)CC4)c(OC)cc23)c(Cl)cc1Cl,3300.0,5.481486060122112,[0. 0. 0. ... 0. 0. 0.],6.158457951116625
CHEMBL1088348,CC1=C(C(=O)Nc2ccc(C)cc2)C(c2ccc(O)cc2O)NC(NCc2ccccc2)=N1,23500.0,4.628932137728264,[0. 0. 0. ... 0. 0. 0.],4.4215149691572035
CHEMBL1088633,COc1cc2c(cc1Cl)C(c1cccc(Cl)c1)=NCC2,10000.0,5.0,[0. 0. 0. ... 0. 0. 0.],5.141818290573354
CHEMBL1088901,CN(C)CCCC(=O)Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,64.0,7.1938200260161125,[0. 0. 0. ... 0. 0. 0.],7.462162960342826
CHEMBL1088931,O=C(Nc1cccc(-c2nc3sccn3c2-c2ccnc(Nc3cccc(N4CCOCC4)c3)n2)c1)c1c(F)cccc1F,6.2,8.207608310501746,[0. 0. 0. ... 0. 0. 0.],8.010869714963764
CHEMBL1089203,C#Cc1cccc(Nc2ccnc3cc(OCCOC)c(OCCOC)cc23)c1,471.0,6.326979092871104,[0. 0. 0. ... 0. 0. 0.],6.239168757004773
CHEMBL1089524,CN(C)CCCC(=O)Nc1ccc2nccc(Nc3cccc(Br)c3)c2c1,44.06666666666666,7.355889799570041,[0. 0. 0. ... 0. 0. 0.],6.906364653794173
CHEMBL1090350,O=C(Nc1cccc(-c2nc3sccn3c2-c2ccnc(Nc3ccc(N4CCOCC4)cc3)n2)c1)c1ccccc1,7.9,8.102372908709558,[0. 0. 0. ... 0. 0. 0.],7.012100460187624
CHEMBL1090351,O=C(Nc1cccc(-c2nc3sccn3c2-c2ccnc(Nc3ccc(N4CCOCC4)cc3)n2)c1)c1c(F)cccc1F,1.9,8.721246399047171,[0. 0. 0. ... 0. 0. 0.],8.306961630152308
CHEMBL1090352,O=C(CC1CCCCC1)Nc1cccc(-c2nc3sccn3c2-c2ccnc(Nc3ccc(N4CCOCC4)cc3)n2)c1,870.0,6.060480747381382,[0. 0. 1. ... 0. 0. 0.],6.4390681519950235
CHEMBL1090353,O=C(CC1CCCC1)Nc1cccc(-c2nc3sccn3c2-c2ccnc(Nc3ccc(N4CCOCC4)cc3)n2)c1,660.0,6.180456064458131,[0. 0. 0. ... 0. 0. 0.],6.511783786640542
CHEMBL1090354,O=C(Nc1ccccc1)Nc1cccc(-c2nc3sccn3c2-c2ccnc(Nc3ccc(N4CCOCC4)cc3)n2)c1,100.0,7.0,[0. 0. 0. ... 0. 0. 0.],6.97404430770406
CHEMBL1090355,O=C(Nc1cccc(-c2nc3sccn3c2-c2ccnc(Nc3ccc(N4CCOCC4)cc3)n2)c1)Oc1ccccc1,190.0,6.721246399047171,[0. 0. 0. ... 0. 0. 0.],6.841647733978747
CHEMBL1090356,O=C(Cc1ccccc1)Nc1cccc(-c2nc3sccn3c2-c2ccnc(Nc3ccc(N4CCOCC4)cc3)n2)c1,63.0,7.200659450546418,[0. 0. 0. ... 0. 0. 0.],7.065145892462047
CHEMBL1090357,CN(C)CCc1ccc(Nc2nccc(-c3c(-c4cccc(NC(=O)c5c(F)cccc5F)c4)nc4sccn34)n2)cc1,110.39,6.9570702666568405,[0. 0. 0. ... 0. 0. 0.],7.114771088029556
CHEMBL1090358,CCN1CCN(c2ccc(Nc3nccc(-c4c(-c5cccc(NC(=O)c6c(F)cccc6F)c5)nc5sccn45)n3)cc2)CC1,25.48,7.593800576336687,[0. 0. 0. ... 0. 0. 0.],7.794893640699027
CHEMBL1090359,O=C(Nc1cccc(-c2nc3sccn3c2-c2ccnc(Nc3ccc4c(c3)CCNC4)n2)c1)c1c(F)cccc1F,2.3,8.638272163982407,[0. 0. 0. ... 0. 0. 0.],7.920483707228119
CHEMBL1090360,O=C(Cc1ccccc1)Nc1cccc(-c2nc3sccn3c2-c2ccnc(Nc3cccc(N4CCOCC4)c3)n2)c1,333.0,6.47755576649368,[0. 0. 0. ... 0. 0. 0.],6.6702075610444185
CHEMBL1090361,CN1CCc2cc(Nc3nccc(-c4c(-c5cccc(NC(=O)Cc6ccccc6)c5)nc5sccn45)n3)ccc2C1,57.0,7.244125144327507,[0. 0. 0. ... 0. 0. 0.],7.180371303442343
CHEMBL1090362,CCN1CCN(c2ccc(Nc3nccc(-c4c(-c5cccc(NC(=O)Cc6ccccc6)c5)nc5sccn45)n3)cc2)CC1,183.0,6.73754891026957,[0. 0. 0. ... 0. 0. 0.],6.843444849510162
CHEMBL1090363,CN(C)CCc1cccc(Nc2nccc(-c3c(-c4cccc(NC(=O)Cc5ccccc5)c4)nc4sccn34)n2)c1,24.0,7.619788758288394,[0. 0. 0. ... 0. 0. 0.],6.713383435341508
CHEMBL1090364,O=C(Cc1ccccc1)Nc1cccc(-c2nc3sccn3c2-c2ccnc(Nc3ccc4c(c3)CCNC4)n2)c1,503.2,6.298259367562787,[0. 0. 0. ... 0. 0. 0.],6.544479821020674
CHEMBL1090840,C=CC(=O)Nc1ccc2nccc(Nc3cccc(Br)c3)c2c1,1.7333333333333334,8.761117911084863,[0. 0. 0. ... 0. 0. 0.],5.391823966866799
CHEMBL1091613,O=C(Nc1cccc(-c2nc3sccn3c2-c2ccncc2)c1)c1ccccc1Cl,240.0,6.619788758288394,[0. 0. 0. ... 0. 0. 0.],6.152437973862984
CHEMBL1091644,C[C@]1(O)C[C@@H](c2nc(-c3ccc4ccc(-c5ccccc5)nc4c3)c3c(N)nccn32)C1,11250.0,4.948847477552619,[0. 0. 0. ... 0. 0. 0.],5.0674709104031415
CHEMBL109212,CCOc1cc2ncc(C#N)c(Nc3cccc(Br)c3)c2cc1OCC,416.87,6.379999357699932,[0. 0. 0. ... 0. 0. 0.],5.8270209953563565
CHEMBL1092250,C#Cc1cccc(Nc2ccnc3cc(OC)c(OC)cc23)c1,391.25,6.407545649445495,[0. 0. 0. ... 0. 0. 0.],6.260460273101793
CHEMBL1092382,CCC(=O)Nc1ccc2nccc(Nc3cccc(Br)c3)c2c1,179.6,6.745693667668714,[0. 0. 0. ... 0. 0. 0.],6.252993522171363
CHEMBL109259,COc1cc2c(C#N)cnc(Nc3cccc(Cl)c3)c2cc1OC,89125.09,4.050000018582057,[0. 0. 0. ... 0. 0. 0.],4.442504227054225
CHEMBL109296,CCNc1ncc2cc(-c3c(Cl)cccc3Cl)c(=O)n(C)c2n1,4500.0,5.346787486224656,[0. 0. 0. ... 0. 0. 0.],5.368333828672198
CHEMBL1093099,Nc1nc(N)c2c(n1)[nH]c1cccc(Sc3ccccc3)c12,15070.0,4.821886747685368,[0. 0. 0. ... 0. 0. 0.],4.736404616231333
CHEMBL1093100,Cc1ccc(Sc2cccc3[nH]c4nc(N)nc(N)c4c23)cc1,10410.0,4.982549270489464,[0. 0. 0. ... 0. 0. 0.],4.9153608574432255
CHEMBL1093234,O=C(Nc1cccc(-c2nc3sccn3c2-c2ccnc(Nc3ccccc3)n2)c1)c1ccccc1,55.0,7.259637310505756,[0. 0. 0. ... 0. 0. 0.],6.495049978036721
CHEMBL1093235,O=[N+]([O-])c1cccc(-c2nc3sccn3c2-c2ccnc(Nc3ccccc3)n2)c1,230.0,6.638272163982407,[0. 0. 0. ... 0. 0. 0.],6.469948362666957
CHEMBL109332,COc1cc2ncc(C=O)c(Nc3cccc(Br)c3)c2cc1OC,3388.44,5.470000200122707,[0. 0. 0. ... 0. 0. 0.],5.484146785780898
CHEMBL1093486,Nc1nc2ccc(-c3c(-c4cccc(NC(=O)c5ccccc5Cl)c4)nc4sccn34)cc2[nH]1,12500.0,4.903089986991944,[0. 0. 0. ... 0. 0. 0.],5.27823059336466
CHEMBL109355,COc1cc2ncc(C#N)c(Nc3ccc(C)c(Cl)c3)c2cc1OC,1479.11,5.829999526735649,[0. 0. 0. ... 0. 0. 0.],5.660112347821883
CHEMBL109372,COc1cc2ncc(C#N)c(Nc3ccc(F)c(Cl)c3)c2cc1OC,2245.6766666666667,5.648652773449001,[0. 0. 0. ... 0. 0. 0.],5.531501714083241
CHEMBL1093815,O=C(Nc1cccc(-c2nc3sccn3c2-c2ccnc(Nc3ccccc3)n2)c1)c1ccccc1Cl,83.0,7.080921907623926,[0. 0. 0. ... 0. 0. 0.],6.5242740511766275
CHEMBL1094194,CSc1ccc(CCCCCn2cc(CCN)c3cc(OCCc4ccc(O)cc4)ccc32)cc1.Cl,1920.0,5.71669877129645,[0. 0. 0. ... 0. 0. 0.],5.603624541381152
CHEMBL1094195,Cl.NCCc1cn(Cc2ccc(-c3cccc(C(F)(F)F)c3)cc2)c2ccc(OCCc3ccc(O)cc3)cc12,1100.0,5.958607314841775,[0. 0. 0. ... 0. 0. 0.],5.8043731024568395
CHEMBL1094196,COc1ccc(-c2ccc(Cn3cc(CCN)c4cc(OCCc5ccc(O)cc5)ccc43)cc2)cc1.Cl,1250.0,5.903089986991944,[0. 0. 0. ... 0. 0. 0.],5.795031808794415
CHEMBL109428,COc1cc2ncc(C#N)c(Nc3cccc(Cl)c3)c2cc1OC,181.97,6.740000204918113,[0. 0. 0. ... 0. 0. 0.],6.356412963510066
CHEMBL1094369,COCCc1ccc(O)cc1,50000.0,4.301029995663981,[0. 0. 0. ... 0. 0. 0.],4.542670896918964
CHEMBL1094408,COc1ccc(N2CCN(C)CC2)cc1Nc1ncc2c(n1)-c1c(c(C(N)=O)nn1C)CC2,10000.0,5.0,[0. 0. 0. ... 0. 0. 0.],5.389485781880082
CHEMBL1094423,Brc1cccc(Nc2ncnc3[nH]c(CCc4ccccc4)cc23)c1,200000.0,3.6989700043360174,[0. 0. 0. ... 0. 0. 0.],4.013973689157711
CHEMBL1094475,C#Cc1cccc(Nc2nc(N)nc3[nH]c(Cc4ccc(Cl)cc4Cl)cc23)c1,55200.0,4.2580609222708015,[0. 0. 0. ... 0. 0. 0.],4.413338604940812
CHEMBL1094492,COc1ccc(CCCCCn2c3c(c4cc(OCCc5ccc(O)cc5)ccc42)CC(N)CC3)cc1.Cl,1370.0,5.863279432843593,[0. 0. 0. ... 0. 0. 0.],5.744361454870499
CHEMBL109476,COc1cc2ncc(C#N)c(Nc3ccc(C)cc3)c2cc1OC,2754.23,5.5599997955387845,[0. 0. 0. ... 0. 0. 0.],5.605728386788439
CHEMBL1094782,COc1ccc(OC)c(Cc2cc3c(Nc4cccc(Br)c4)ncnc3[nH]2)c1,300000.0,3.5228787452803374,[0. 0. 0. ... 0. 0. 0.],4.576291041131875
CHEMBL1094783,Clc1ccc(Cc2cc3c(Nc4cccc(Br)c4)ncnc3[nH]2)c(Cl)c1,300000.0,3.5228787452803374,[0. 0. 0. ... 0. 0. 0.],5.105670447674869
CHEMBL1094784,FC(F)(F)c1cccc(Nc2ncnc3[nH]c(Cc4ccc(Cl)cc4Cl)cc23)c1,33100.0,4.480172006224281,[0. 0. 0. ... 0. 0. 0.],5.699576173218216
CHEMBL1094808,Nc1nc(Nc2ccc(C(F)(F)F)c(F)c2)c2cc(Cc3ccc(Cl)cc3Cl)[nH]c2n1,91700.0,4.037630664329979,[0. 0. 0. ... 0. 0. 0.],4.042947061749995
CHEMBL1094825,Cl.NC1CCc2c(c3cc(OCCc4ccc(O)cc4)ccc3n2CCCCCc2ccc(C(F)(F)F)cc2)C1,2750.0,5.560667306169737,[0. 0. 0. ... 0. 0. 0.],5.604244273036968
CHEMBL1094835,COc1ccc(CCOc2ccc3c(c2)c(CCN)cn3CCCCCc2ccc(SC)cc2)cc1.Cl,2450.0,5.610833915635467,[0. 0. 0. ... 0. 0. 0.],5.600955967520854
CHEMBL109503,COc1cc2ncc(C#N)c(Nc3cccc(C(F)(F)F)c3)c2cc1OC,1445.44,5.839999931118699,[0. 0. 0. ... 0. 0. 0.],5.802926617003725
CHEMBL1095130,Nc1nc(Nc2ccc(Cl)cc2F)c2cc(Cc3ccc(Cl)cc3Cl)[nH]c2n1,2500.0,5.6020599913279625,[0. 0. 0. ... 0. 0. 0.],4.074430284877334
CHEMBL1095131,Nc1nc(Nc2cccc(F)c2)c2cc(Cc3ccc(Cl)cc3Cl)[nH]c2n1,161600.0,3.791558643561433,[0. 0. 0. ... 0. 0. 0.],3.998320883741405
CHEMBL109515,COCCOc1cc2ncc(C#N)c(Nc3cccc(Br)c3)c2cc1OCCOC,1096.48,5.95999928552668,[0. 0. 0. ... 0. 0. 0.],5.8459360535972955
CHEMBL1095154,Cl.NCCc1cn(Cc2ccc(-c3ccccc3)cc2)c2ccc(OCCc3ccc(O)cc3)cc12,1300.0,5.886056647693163,[0. 0. 0. ... 0. 0. 0.],5.8637766793387565
CHEMBL109525,CCOC(=O)c1ccc(Nc2ncc3cc(-c4c(Cl)cccc4Cl)c(=O)n(C)c3n2)cc1,50000.0,4.301029995663981,[0. 0. 0. ... 0. 0. 0.],4.972614712015876
CHEMBL1095259,N=C1N=C(NCCS(=O)(=O)O)/C(=C/C(O)CNC(=O)c2cc(Br)c(Br)[nH]2)N1,22330.0,4.651111276928562,[0. 1. 0. ... 0. 0. 0.],4.757671132675005
CHEMBL1095445,Nc1nc(Nc2cccc(C(F)(F)F)c2)c2cc(Cc3ccc(Cl)cc3Cl)[nH]c2n1,27200.0,4.565431095965801,[0. 0. 0. ... 0. 0. 0.],4.325812674645759
CHEMBL1095463,CC(C)c1ccc(Nc2nc(N)nc3[nH]c(Cc4ccc(Cl)cc4Cl)cc23)cc1,45600.0,4.341035157335565,[0. 1. 0. ... 0. 0. 0.],4.247031860768338
CHEMBL1095464,Cc1ccccc1Cc1cc2c(Nc3cccc(Br)c3)nc(N)nc2[nH]1,9167.5,5.03774908136736,[0. 0. 0. ... 0. 0. 0.],5.045529775774247
CHEMBL1095465,COc1ccc(OC)c(Cc2cc3c(Nc4cccc(Br)c4)nc(N)nc3[nH]2)c1,9520.0,5.021363051615525,[0. 0. 0. ... 0. 0. 0.],4.8157506559545284
CHEMBL1095466,Cc1ccccc1Cc1cc2c(Nc3cccc(Br)c3)ncnc2[nH]1,300000.0,3.5228787452803374,[0. 0. 0. ... 0. 0. 0.],4.823056010338543
